"id","updated_at","amount_usdt","tx_hash","block_number","contract_address","metadata","payment_status","created_at","buyer_id","pack_id","referral_system_status"
1080,2025-12-12 19:52:38.556 +0300,250.000000,manual_qual_1765558358_322117c1,0,MANUAL_SHELL_SCRIPT,"{}",COMPLETED,2025-12-12 19:52:38.556 +0300,2174,1,1
1,2025-11-24 16:18:01.517 +0300,4.000000,"6f2b685122c3481e311db4e99a7dcd6e889b7de49ca04da79421dd1972f41768",77775282,TPkxbezUBacWwnqgAtWkxFujXncGEbHrkK,"{""buyer"": ""TE37X39yqvqDrW7rPFew7QFKoXqeVUcSpY"", ""packId"": ""4"", ""amountUSDT"": ""4000000""}",COMPLETED,2025-11-24 15:31:39.000 +0300,2,4,1
2,2025-11-24 16:35:01.597 +0300,1000.000000,fb46599e2ded3081869cb793f0cfc96849e031ecf6fc8a7231095f1ae995a93a,77776519,TPkxbezUBacWwnqgAtWkxFujXncGEbHrkK,"{""buyer"": ""TYAKRKcSPBd9FVeti5gTvXfRbkuqng1bjt"", ""packId"": ""2"", ""amountUSDT"": ""1000000000""}",COMPLETED,2025-11-24 16:33:30.000 +0300,11,2,1
3,2025-11-24 16:56:01.988 +0300,250.000000,"77f350a02a00a67314ee58e0451d599d40aae97bcd5d020d41b666975262ae64",77776931,TPkxbezUBacWwnqgAtWkxFujXncGEbHrkK,"{""buyer"": ""TNJ5CKSu91pDqiwej8ehU8n7UBMxk2a7A5"", ""packId"": ""1"", ""amountUSDT"": ""250000000""}",COMPLETED,2025-11-24 16:54:06.000 +0300,28,1,1
448,2025-12-01 22:53:32.357 +0300,250.000000,e690915edacbcf712ce6508fe8942360b0ef0d0d6d338f090eb3a581edb0ba31,77985629,TPkxbezUBacWwnqgAtWkxFujXncGEbHrkK,"{""buyer"": ""TZ9CgXK6g8xKv5dxuAXRkYTocueANFjCmf"", ""packId"": ""1"", ""amountUSDT"": ""250000000""}",COMPLETED,2025-12-01 22:52:12.000 +0300,2190,1,1
4,2025-11-24 16:58:01.519 +0300,1000.000000,cfc7f0f401226fcb6b658557ec40721a400a3dfee5e5dc5911032fdb69260959,77776971,TPkxbezUBacWwnqgAtWkxFujXncGEbHrkK,"{""buyer"": ""TYdWzWnH6Eqk7fVWkvEsmr37gnHKwAKjDQ"", ""packId"": ""2"", ""amountUSDT"": ""1000000000""}",COMPLETED,2025-11-24 16:56:06.000 +0300,27,2,1
5,2025-11-24 17:02:01.518 +0300,1000.000000,cdf43bd638354c7d18977314a7d316dd01f155b826140c475a465d0778a10064,77777064,TPkxbezUBacWwnqgAtWkxFujXncGEbHrkK,"{""buyer"": ""TRrDsDShjk64XFCkBwxoyU1xJs5jMC1bBo"", ""packId"": ""2"", ""amountUSDT"": ""1000000000""}",COMPLETED,2025-11-24 17:00:45.000 +0300,173,2,1
6,2025-11-24 17:03:01.599 +0300,1000.000000,"45f50116e3d6eeb2ad3cf812a33a414a5ad0fde89cfb0423f7e6d9f5798381f0",77777069,TPkxbezUBacWwnqgAtWkxFujXncGEbHrkK,"{""buyer"": ""TA6N3ZFXnthrSPf9x3JBrUBC8KF8VxLzRu"", ""packId"": ""2"", ""amountUSDT"": ""1000000000""}",COMPLETED,2025-11-24 17:01:00.000 +0300,183,2,1
7,2025-11-24 17:05:01.605 +0300,1000.000000,"7ff91d846dde6c8411b0d5ce88627d33e2bae0a22aec87006b644c2d95a15755",77777124,TPkxbezUBacWwnqgAtWkxFujXncGEbHrkK,"{""buyer"": ""TQCSy8X6WHyHTXb8Kw3Hg2eXGwRGfGHg59"", ""packId"": ""2"", ""amountUSDT"": ""1000000000""}",COMPLETED,2025-11-24 17:03:45.000 +0300,81,2,1
8,2025-11-24 17:10:01.621 +0300,1000.000000,"01bcc8e48b915355ae2ef614a506c505062ff13c3ce5ec8126e073fe819df249",77777227,TPkxbezUBacWwnqgAtWkxFujXncGEbHrkK,"{""buyer"": ""TKUHvqPZwfLLHkJuqwLK6c3q1gmKvUcY12"", ""packId"": ""2"", ""amountUSDT"": ""1000000000""}",COMPLETED,2025-11-24 17:08:54.000 +0300,250,2,1
