id,created_at,updated_at,earning_type,level,percentage,amount_usdt,status,is_grace_period,recipient_was_active,compression_applied,original_level,buyer_id,purchase_id,recipient_id,shares_count,distribution_id
7953,2025-12-12T13:38:45.909273+00:00,2025-12-12T13:38:45.909282+00:00,LEGENDS_POOL,,,250.000000,PENDING,False,True,False,,159,1066,,,
7952,2025-12-12T13:38:45.905690+00:00,2025-12-12T13:38:45.905701+00:00,BONUS_POOL,7,2.00,100.000000,PENDING,False,True,False,,159,1066,,,
7951,2025-12-12T13:38:45.901973+00:00,2025-12-12T13:38:45.901985+00:00,NETWORK,6,2.00,100.000000,PENDING,False,True,True,9,159,1066,2343,,
7950,2025-12-12T13:38:45.897136+00:00,2025-12-12T13:38:45.897147+00:00,NETWORK,5,2.00,100.000000,WITHDRAWN,False,True,True,6,159,1066,23,,
7949,2025-12-12T13:38:45.894432+00:00,2025-12-12T13:38:45.894446+00:00,NETWORK,4,2.00,100.000000,PENDING,False,True,True,5,159,1066,54,,
7948,2025-12-12T13:38:45.890527+00:00,2025-12-12T13:38:45.890538+00:00,NETWORK,3,2.00,100.000000,PENDING,False,True,False,3,159,1066,120,,
7947,2025-12-12T13:38:45.888230+00:00,2025-12-12T13:38:45.888272+00:00,NETWORK,2,5.00,250.000000,PENDING,False,True,False,2,159,1066,119,,
7946,2025-12-12T13:38:45.885813+00:00,2025-12-12T13:38:45.885829+00:00,NETWORK,1,10.00,500.000000,PENDING,False,True,False,1,159,1066,118,,
7945,2025-12-12T13:35:45.909820+00:00,2025-12-12T13:35:45.909830+00:00,LEGENDS_POOL,,,50.000000,PENDING,False,True,False,,136,1065,,,
7944,2025-12-12T13:35:45.905934+00:00,2025-12-12T13:35:45.905944+00:00,BONUS_POOL,7,2.00,20.000000,PENDING,False,True,False,,136,1065,,,
7943,2025-12-12T13:35:45.902717+00:00,2025-12-12T13:35:45.902730+00:00,BONUS_POOL,6,2.00,20.000000,PENDING,False,True,False,,136,1065,,,
7942,2025-12-12T13:35:45.899500+00:00,2025-12-12T13:35:45.899509+00:00,BONUS_POOL,5,2.00,20.000000,PENDING,False,True,False,,136,1065,,,
7941,2025-12-12T13:35:45.895960+00:00,2025-12-12T13:35:45.895972+00:00,NETWORK,4,2.00,20.000000,PENDING,False,True,True,9,136,1065,2343,,
7940,2025-12-12T13:35:45.890735+00:00,2025-12-12T13:35:45.890747+00:00,NETWORK,3,2.00,20.000000,WITHDRAWN,False,True,True,6,136,1065,23,,
7939,2025-12-12T13:35:45.885067+00:00,2025-12-12T13:35:45.885081+00:00,NETWORK,2,5.00,50.000000,PENDING,False,True,True,3,136,1065,20,,
7938,2025-12-12T13:35:45.881428+00:00,2025-12-12T13:35:45.881446+00:00,NETWORK,1,10.00,100.000000,PENDING,False,True,True,2,136,1065,19,,
7937,2025-12-12T13:19:15.887810+00:00,2025-12-12T13:19:15.887821+00:00,LEGENDS_POOL,,,50.000000,PENDING,False,True,False,,2518,1064,,,
7936,2025-12-12T13:19:15.882904+00:00,2025-12-12T13:19:15.882916+00:00,BONUS_POOL,7,2.00,20.000000,PENDING,False,True,False,,2518,1064,,,
7935,2025-12-12T13:19:15.879393+00:00,2025-12-12T13:19:15.879404+00:00,BONUS_POOL,6,2.00,20.000000,PENDING,False,True,False,,2518,1064,,,
7934,2025-12-12T13:19:15.875899+00:00,2025-12-12T13:19:15.875911+00:00,BONUS_POOL,5,2.00,20.000000,PENDING,False,True,False,,2518,1064,,,
7933,2025-12-12T13:19:15.872710+00:00,2025-12-12T13:19:15.872722+00:00,BONUS_POOL,4,2.00,20.000000,PENDING,False,True,False,,2518,1064,,,
7932,2025-12-12T13:19:15.869150+00:00,2025-12-12T13:19:15.869163+00:00,BONUS_POOL,3,2.00,20.000000,PENDING,False,True,False,,2518,1064,,,
7931,2025-12-12T13:19:15.865424+00:00,2025-12-12T13:19:15.865440+00:00,NETWORK,2,5.00,50.000000,PENDING,False,True,True,4,2518,1064,2343,,
7930,2025-12-12T13:19:15.860936+00:00,2025-12-12T13:19:15.860953+00:00,NETWORK,1,10.00,100.000000,PENDING,False,True,True,2,2518,1064,60,,
7929,2025-12-12T13:11:15.869083+00:00,2025-12-12T13:11:15.869093+00:00,LEGENDS_POOL,,,50.000000,PENDING,False,True,False,,2035,1063,,,
