"id","created_at","updated_at","amount","metadata","tx_hash","block_number","contract_address","buyer_id","paylink_invoice_id","paylink_reference_id","payment_status","payment_type","referral_system_status","jggl_pack_id","discount_rate","full_amount","atla_pack_id"
1090,2025-11-05 01:21:27.000 +0300,2025-11-05 01:22:34.872 +0300,15.000000,"{""buyer"": ""TMsnnwczbKkBE6TDQDvzojnsP2i5Gh2JtH"", ""amountUSDT"": ""15000000"", ""atlaAmount"": ""1052000000000000000"", ""contract_name"": ""PurchaseInfl"", ""atlaCoinsCredited"": true, ""atlaCoinsCreditedAmount"": ""1.052""}","0a877cb42a5eebdfd0d5fc8d9194cde4e3a402d78408733bf24ad5122f6f2cf1",77211243,TPCGvvYPTAPKsZUJXXFcWsqEMNbLEGWymU,25015,,,COMPLETED,CRYPTO,1,,0.0500,15.789474,
1092,2025-11-05 03:59:18.000 +0300,2025-11-05 04:00:24.775 +0300,75.000000,"{""buyer"": ""TCW7YLAdABEdpUrz5GAiesMWWKTWydxMwc"", ""amountUSDT"": ""75000000"", ""atlaAmount"": ""5263000000000000000"", ""contract_name"": ""PurchaseMlm"", ""atlaCoinsCredited"": true, ""atlaCoinsCreditedAmount"": ""5.263""}","81fc8bb2ae6f647949ba189cebd75b7aa23eead54befff6914233bc92bb23cee",77214398,TPCGvvYPTAPKsZUJXXFcWsqEMNbLEGWymU,23605,,,COMPLETED,CRYPTO,1,,0.0000,75.000000,
1094,2025-11-05 06:14:24.000 +0300,2025-11-05 06:15:35.802 +0300,310.800000,"{""buyer"": ""TEadQwWnVqiFBCfctGeo4cAqWzbWP7Ecz5"", ""amountUSDT"": ""310800000"", ""atlaAmount"": ""22105000000000000000"", ""contract_name"": ""PurchaseMlm"", ""atlaCoinsCredited"": true, ""atlaCoinsCreditedAmount"": ""22.105""}","8c1603dc210f36dfc47f2dc58a99b229a24a3e73855cf5ccb0ba258bf4558005",77217100,TPCGvvYPTAPKsZUJXXFcWsqEMNbLEGWymU,15004,,,COMPLETED,CRYPTO,1,,0.0000,310.800000,
1093,2025-11-05 04:29:20.006 +0300,2025-11-05 04:29:20.764 +0300,10000.000000,"{""buyer"": 160, ""userId"": 160, ""amountUSDT"": ""10000000000"", ""atlaAmount"": ""0"", ""fullAmountUSDT"": ""10000000000"", ""payment_method"": ""card""}",PAYID-ATL-1762306160-e38a17b7,0,PAYID,160,,ATL-1762306160-e38a17b7,PENDING,PAYID,0,4,0.0000,10000.000000,
1095,2025-11-05 07:23:09.000 +0300,2025-11-05 07:24:16.380 +0300,15.000000,"{""buyer"": ""TZ4vQvuTGy9NvLDHUaVhXvCAKqaqyDmWTF"", ""amountUSDT"": ""15000000"", ""atlaAmount"": ""1052000000000000000"", ""contract_name"": ""PurchaseMlm"", ""atlaCoinsCredited"": true, ""atlaCoinsCreditedAmount"": ""1.052""}","10e62756919610fcbc963bbe89f5f20214ff8610e07bc8d8744e2c3bd24b55df",77218475,TPCGvvYPTAPKsZUJXXFcWsqEMNbLEGWymU,9262,,,COMPLETED,CRYPTO,1,,0.0000,15.000000,
1096,2025-11-05 14:41:57.000 +0300,2025-11-05 14:43:09.872 +0300,15.000000,"{""buyer"": ""TTTRn4NkuUCqExUpnWKGbWAM3x7HjQxpfT"", ""amountUSDT"": ""15000000"", ""atlaAmount"": ""1052000000000000000"", ""contract_name"": ""PurchaseMlm"", ""atlaCoinsCredited"": true, ""atlaCoinsCreditedAmount"": ""1.052""}","87dbcf3abde343e4c7551ffa059cefbbe4a8eede98a611bd1c5a5524bd322d89",77227249,TPCGvvYPTAPKsZUJXXFcWsqEMNbLEGWymU,11756,,,COMPLETED,CRYPTO,1,,0.0000,15.000000,
1085,2025-11-05 00:55:15.000 +0300,2025-11-05 00:56:25.790 +0300,150.000000,"{""buyer"": ""TMsnnwczbKkBE6TDQDvzojnsP2i5Gh2JtH"", ""packId"": ""1"", ""roundId"": ""1"", ""amountUSDT"": ""150000000"", ""contract_name"": ""Purchase""}","4f371a220f786d73cca5db1006bfac7b139aea94a08efdfdf2fd671cb89eb64b",77210719,TUcK1uRsaNYsoVL2ggeyeiz1isBCV9TvwN,25015,,,COMPLETED,CRYPTO,1,1,0.0000,150.000000,
852,2025-10-30 04:17:39.000 +0300,2025-10-30 04:18:47.874 +0300,444.000000,"{""buyer"": ""TUTCgQyDAP8P9YKztV1ygbAgAuecA6NhwG"", ""amountUSDT"": ""444000000"", ""atlaAmount"": ""60000000000000000000"", ""contract_name"": ""PurchaseMlm"", ""atlaCoinsCredited"": true, ""atlaCoinsCreditedAmount"": ""60""}",a0c69adbd42e92f450a193db6d01175f30d3a654324045f9131c9f4171fd5016,77042016,TPCGvvYPTAPKsZUJXXFcWsqEMNbLEGWymU,1118,,,COMPLETED,CRYPTO,1,,0.0500,467.368421,
853,2025-10-30 04:19:18.000 +0300,2025-10-30 04:20:27.953 +0300,90.000000,"{""buyer"": ""TCZiqXrrvQH6NRGXGm5MixzEuQYLL9AjKe"", ""amountUSDT"": ""90000000"", ""atlaAmount"": ""12000000000000000000"", ""contract_name"": ""PurchaseMlm"", ""atlaCoinsCredited"": true, ""atlaCoinsCreditedAmount"": ""12""}","91c7ffa8bf207cd7026be186535d2ae1f69dc7fc759cddf6e99567c404b19477",77042049,TPCGvvYPTAPKsZUJXXFcWsqEMNbLEGWymU,2474,,,COMPLETED,CRYPTO,1,,0.0500,94.736842,
937,2025-10-30 18:45:54.000 +0300,2025-10-30 18:47:08.427 +0300,15.000000,"{""buyer"": ""TYAKRKcSPBd9FVeti5gTvXfRbkuqng1bjt"", ""amountUSDT"": ""15000000"", ""atlaAmount"": ""1000000000000000000"", ""contract_name"": ""PurchaseMlm"", ""atlaCoinsCredited"": true, ""atlaCoinsCreditedAmount"": ""1""}","3066d6d74a315ad2798f1ba503a86c5e745b632218d79f2279bc31ced06ea7ca",77059376,TPCGvvYPTAPKsZUJXXFcWsqEMNbLEGWymU,4936,,,COMPLETED,CRYPTO,1,,0.0000,15.000000,
939,2025-10-30 19:13:39.000 +0300,2025-10-30 19:14:48.569 +0300,15.000000,"{""buyer"": ""TTZgmDvdpurst1sZbuihunpvquS2GuwwjS"", ""amountUSDT"": ""15000000"", ""atlaAmount"": ""1000000000000000000"", ""contract_name"": ""PurchaseMlm"", ""atlaCoinsCredited"": true, ""atlaCoinsCreditedAmount"": ""1""}","502f7322c78f022802d5655641fb09d364953102d1e3b47e30ab2fa65e5df9a9",77059931,TPCGvvYPTAPKsZUJXXFcWsqEMNbLEGWymU,160,,,COMPLETED,CRYPTO,1,,0.0500,15.789474,
987,2025-11-02 11:10:18.000 +0300,2025-11-02 11:11:27.890 +0300,15.000000,"{""buyer"": ""TFLshLMkJpGTxYFCqeyrPxPFxn7acKnqTG"", ""amountUSDT"": ""15000000"", ""atlaAmount"": ""1000000000000000000"", ""contract_name"": ""PurchaseMlm"", ""atlaCoinsCredited"": true, ""atlaCoinsCreditedAmount"": ""1""}",bba07c2f37050cb588a366fb917c73e9f57eca718005b4361a815bd5014df075,77136641,TPCGvvYPTAPKsZUJXXFcWsqEMNbLEGWymU,15128,,,COMPLETED,CRYPTO,1,,0.0500,15.789474,
1088,2025-11-05 01:18:27.000 +0300,2025-11-05 01:19:33.630 +0300,15.000000,"{""buyer"": ""TYAKRKcSPBd9FVeti5gTvXfRbkuqng1bjt"", ""amountUSDT"": ""15000000"", ""atlaAmount"": ""1000000000000000000"", ""contract_name"": ""PurchaseMlm"", ""atlaCoinsCredited"": true, ""atlaCoinsCreditedAmount"": ""1""}","89626fa163731bf98c9a2399b0d33f0355d15547e4214fbd4d74ac621fa24d0b",77211183,TPCGvvYPTAPKsZUJXXFcWsqEMNbLEGWymU,4936,,,COMPLETED,CRYPTO,1,,0.0000,15.000000,
1097,2025-11-05 16:08:39.217 +0300,2025-11-05 16:08:41.361 +0300,15.000000,"{""buyer"": 25137, ""userId"": 25137, ""amountUSDT"": ""15000000"", ""atlaAmount"": ""1000000000000000000.000"", ""fullAmountUSDT"": ""15000000"", ""payment_method"": ""card""}",PAYID-ATL-1762348119-631cdca2,0,PAYID,25137,,ATL-1762348119-631cdca2,PENDING,PAYID,0,,0.0000,15.000000,
851,2025-10-30 04:01:45.000 +0300,2025-10-30 04:02:57.966 +0300,15.000000,"{""buyer"": ""TYLZa4EC3HAoFvkSF3FZn8yCgRPRrjSnL1"", ""amountUSDT"": ""15000000"", ""atlaAmount"": ""2000000000000000000"", ""contract_name"": ""PurchaseMlm"", ""atlaCoinsCredited"": true, ""atlaCoinsCreditedAmount"": ""2""}","03ee73948e85169ff2946d3485fb1328917329ea7687f3a6f5551c3aba67daec",77041698,TPCGvvYPTAPKsZUJXXFcWsqEMNbLEGWymU,5111,,,COMPLETED,CRYPTO,1,,0.0500,15.789474,
1083,2025-11-05 00:30:45.000 +0300,2025-11-05 00:31:54.599 +0300,15.000000,"{""buyer"": ""TE37X39yqvqDrW7rPFew7QFKoXqeVUcSpY"", ""amountUSDT"": ""15000000"", ""atlaAmount"": ""1000000000000000000"", ""contract_name"": ""PurchaseInfl"", ""atlaCoinsCredited"": true, ""atlaCoinsCreditedAmount"": ""1""}","1cc5651d33e2529e4e162d1198f7f96ddadc735c359b6f8f26700b9f64c32d18",77210229,TPCGvvYPTAPKsZUJXXFcWsqEMNbLEGWymU,771,,,COMPLETED,CRYPTO,1,,0.0000,15.000000,
1084,2025-11-05 00:53:29.623 +0300,2025-11-05 00:53:30.432 +0300,50000.000000,"{""buyer"": 25016, ""userId"": 25016, ""amountUSDT"": ""50000000000"", ""atlaAmount"": ""0"", ""fullAmountUSDT"": ""50000000000"", ""payment_method"": ""card""}",PAYID-ATL-1762293209-f1fa0f15,0,PAYID,25016,,ATL-1762293209-f1fa0f15,PENDING,PAYID,0,5,0.0000,50000.000000,
1087,2025-11-05 01:01:17.021 +0300,2025-11-05 01:01:17.837 +0300,10000.000000,"{""buyer"": 24967, ""userId"": 24967, ""amountUSDT"": ""10000000000"", ""atlaAmount"": ""0"", ""fullAmountUSDT"": ""10000000000"", ""payment_method"": ""card""}",PAYID-ATL-1762293677-9673f263,0,PAYID,24967,,ATL-1762293677-9673f263,PENDING,PAYID,0,4,0.0000,10000.000000,
