"id","created_at","updated_at","generation_level","amount","percentage","referral_pool","status","ppv","tv","tier","qualification_reason","tx_amount","rpr","calculated_at","buyer_id","purchase_id","user_id","is_sponsor_earning","sponsor_withhold_amount","referral_system_type","earning_type"
1,2025-11-07 01:28:34.463 +0300,2025-11-07 01:28:34.463 +0300,1,3.000000,0.1000,30.000000,PENDING,0.000000,0.000000,3,gen1_always_qualified,100.000000,0.3000,2025-11-07 01:28:34.461 +0300,411,13,404,false,,1,NETWORK
2,2025-11-07 01:28:34.753 +0300,2025-11-07 01:28:34.753 +0300,6,2.631578,0.0250,31.578947,PENDING,,,,mlm_upline_l6_qualified,100.000000,0.3000,2025-11-07 01:28:34.741 +0300,473,19,13,false,,3,NETWORK
3,2025-11-07 01:28:34.802 +0300,2025-11-07 01:28:34.802 +0300,1,21.052631,0.2000,31.578947,PENDING,,,,sponsor_rate_0.2500,100.000000,0.3000,2025-11-07 01:28:34.782 +0300,943,21,982,true,5.263158,3,NETWORK
4,2025-11-07 01:28:35.076 +0300,2025-11-07 01:28:35.076 +0300,1,15.789473,0.1500,31.578947,PENDING,,,,kol_l1_direct,100.000000,0.3000,2025-11-07 01:28:35.074 +0300,1556,34,1533,false,,2,NETWORK
5,2025-11-07 01:28:35.549 +0300,2025-11-07 01:28:35.549 +0300,5,2.763157,0.0250,33.157895,PENDING,,,,mlm_upline_l5_qualified,105.000000,0.3000,2025-11-07 01:28:35.470 +0300,765,80,13,false,,3,NETWORK
6,2025-11-07 01:28:35.846 +0300,2025-11-07 01:28:35.846 +0300,4,3.894736,0.0250,46.736842,PENDING,,,,mlm_upline_l4_qualified,148.000000,0.3000,2025-11-07 01:28:35.780 +0300,3040,139,13,false,,3,NETWORK
2856,2025-12-03 16:51:02.153 +0300,2025-12-03 16:51:02.153 +0300,1,0.190000,0.2000,0.285000,PENDING,,,,sponsor_rate_0.2500,0.950000,0.3000,2025-12-03 16:51:02.149 +0300,27380,2394,27374,true,0.047500,3,NETWORK
10,2025-11-07 01:28:36.178 +0300,2025-11-07 01:28:36.178 +0300,9,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l9_qualified,15.000000,0.3000,2025-11-07 01:28:36.173 +0300,3494,148,13,false,,3,NETWORK
2857,2025-12-03 17:08:02.178 +0300,2025-12-03 17:08:02.178 +0300,1,0.200000,0.2000,0.300000,PENDING,,,,sponsor_rate_0.2500,1.000000,0.3000,2025-12-03 17:08:02.173 +0300,27380,2395,27374,true,0.050000,3,NETWORK
12,2025-11-07 01:28:36.352 +0300,2025-11-07 01:28:36.352 +0300,4,0.778947,0.0167,46.736842,PENDING,,,,upline_l4_qualified,148.000000,0.3000,2025-11-07 01:28:36.345 +0300,3562,149,13,false,,3,NETWORK
2858,2025-12-03 17:15:02.190 +0300,2025-12-03 17:15:02.190 +0300,1,0.200000,0.2000,0.300000,PENDING,,,,sponsor_rate_0.2500,1.000000,0.3000,2025-12-03 17:15:02.185 +0300,27380,2396,27374,true,0.050000,3,NETWORK
2855,2025-12-03 15:48:32.001 +0300,2025-12-03 15:48:32.001 +0300,1,2.850000,0.2000,4.275000,CLAIMED,,,,sponsor_rate_0.2500,14.250000,0.3000,2025-12-03 15:48:31.996 +0300,27380,2393,27374,true,0.712500,3,NETWORK
2859,2025-12-03 19:11:32.405 +0300,2025-12-03 19:11:32.405 +0300,1,0.356250,0.0250,4.275000,PENDING,,,,mlm_upline_l1_qualified,14.250000,0.3000,2025-12-03 19:11:32.392 +0300,69,2400,70,false,,3,NETWORK
17,2025-11-07 01:28:36.881 +0300,2025-11-07 01:28:36.881 +0300,1,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l1_qualified,15.000000,0.3000,2025-11-07 01:28:36.873 +0300,2211,166,13,false,,3,NETWORK
18,2025-11-07 01:28:37.059 +0300,2025-11-07 01:28:37.059 +0300,4,2.763157,0.0250,33.157895,PENDING,,,,mlm_upline_l4_qualified,105.000000,0.3000,2025-11-07 01:28:37.051 +0300,2621,169,13,false,,3,NETWORK
19,2025-11-07 01:28:37.186 +0300,2025-11-07 01:28:37.186 +0300,4,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l4_qualified,15.000000,0.3000,2025-11-07 01:28:37.179 +0300,4016,176,13,false,,3,NETWORK
