"id","created_at","updated_at","earning_type","level","percentage","amount_usdt","status","is_grace_period","recipient_was_active","compression_applied","original_level","buyer_id","purchase_id","recipient_id","shares_count","distribution_id"
1,2025-11-24 16:19:00.027 +0300,2025-11-24 16:19:00.027 +0300,BONUS_POOL,1,10.00,0.400000,PENDING,false,true,false,,2,1,,,
2,2025-11-24 16:19:00.032 +0300,2025-11-24 16:19:00.032 +0300,BONUS_POOL,2,5.00,0.200000,PENDING,false,true,false,,2,1,,,
3,2025-11-24 16:19:00.035 +0300,2025-11-24 16:19:00.035 +0300,BONUS_POOL,3,2.00,0.080000,PENDING,false,true,false,,2,1,,,
4,2025-11-24 16:19:00.038 +0300,2025-11-24 16:19:00.038 +0300,BONUS_POOL,4,2.00,0.080000,PENDING,false,true,false,,2,1,,,
5,2025-11-24 16:19:00.041 +0300,2025-11-24 16:19:00.041 +0300,BONUS_POOL,5,2.00,0.080000,PENDING,false,true,false,,2,1,,,
6,2025-11-24 16:19:00.044 +0300,2025-11-24 16:19:00.044 +0300,BONUS_POOL,6,2.00,0.080000,PENDING,false,true,false,,2,1,,,
7,2025-11-24 16:19:00.047 +0300,2025-11-24 16:19:00.047 +0300,BONUS_POOL,7,2.00,0.080000,PENDING,false,true,false,,2,1,,,
8,2025-11-24 16:19:00.051 +0300,2025-11-24 16:19:00.051 +0300,LEGENDS_POOL,,,0.200000,PENDING,false,true,false,,2,1,,,
4657,2025-12-09 13:38:25.088 +0300,2025-12-09 13:38:25.088 +0300,NETWORK,1,10.00,100.000000,PENDING,false,true,false,1,2692,612,2443,,
4658,2025-12-09 13:38:25.091 +0300,2025-12-09 13:38:25.091 +0300,NETWORK,2,5.00,50.000000,PENDING,false,true,false,2,2692,612,138,,
4659,2025-12-09 13:38:25.093 +0300,2025-12-09 13:38:25.093 +0300,NETWORK,3,2.00,20.000000,PENDING,false,true,false,3,2692,612,139,,
12,2025-11-24 16:36:00.035 +0300,2025-11-24 16:36:00.035 +0300,BONUS_POOL,4,2.00,20.000000,PENDING,false,true,false,,11,2,,,
13,2025-11-24 16:36:00.038 +0300,2025-11-24 16:36:00.038 +0300,BONUS_POOL,5,2.00,20.000000,PENDING,false,true,false,,11,2,,,
14,2025-11-24 16:36:00.041 +0300,2025-11-24 16:36:00.041 +0300,BONUS_POOL,6,2.00,20.000000,PENDING,false,true,false,,11,2,,,
15,2025-11-24 16:36:00.044 +0300,2025-11-24 16:36:00.044 +0300,BONUS_POOL,7,2.00,20.000000,PENDING,false,true,false,,11,2,,,
16,2025-11-24 16:36:00.048 +0300,2025-11-24 16:36:00.048 +0300,LEGENDS_POOL,,,50.000000,PENDING,false,true,false,,11,2,,,
19,2025-11-24 16:57:00.084 +0300,2025-11-24 16:57:00.084 +0300,NETWORK,3,2.00,5.000000,PENDING,true,true,false,3,28,3,31,,
21,2025-11-24 16:57:00.086 +0300,2025-11-24 16:57:00.086 +0300,NETWORK,5,2.00,5.000000,PENDING,true,true,false,5,28,3,33,,
22,2025-11-24 16:57:00.087 +0300,2025-11-24 16:57:00.087 +0300,NETWORK,6,2.00,5.000000,PENDING,true,true,false,6,28,3,34,,
23,2025-11-24 16:57:00.091 +0300,2025-11-24 16:57:00.091 +0300,BONUS_POOL,7,2.00,5.000000,PENDING,false,true,false,,28,3,,,
24,2025-11-24 16:57:00.095 +0300,2025-11-24 16:57:00.095 +0300,LEGENDS_POOL,,,12.500000,PENDING,false,true,false,,28,3,,,
28,2025-11-24 16:59:00.022 +0300,2025-11-24 16:59:00.022 +0300,NETWORK,4,2.00,20.000000,PENDING,true,true,false,4,27,4,31,,
30,2025-11-24 16:59:00.024 +0300,2025-11-24 16:59:00.024 +0300,NETWORK,6,2.00,20.000000,PENDING,true,true,false,6,27,4,33,,
31,2025-11-24 16:59:00.025 +0300,2025-11-24 16:59:00.025 +0300,NETWORK,7,2.00,20.000000,PENDING,true,true,false,7,27,4,34,,
32,2025-11-24 16:59:00.076 +0300,2025-11-24 16:59:00.076 +0300,LEGENDS_POOL,,,50.000000,PENDING,false,true,false,,27,4,,,
33,2025-11-24 17:03:00.074 +0300,2025-11-24 17:03:00.074 +0300,NETWORK,1,10.00,100.000000,PENDING,true,true,false,1,173,5,174,,
34,2025-11-24 17:03:00.076 +0300,2025-11-24 17:03:00.076 +0300,NETWORK,2,5.00,50.000000,PENDING,true,true,false,2,173,5,175,,
35,2025-11-24 17:03:00.078 +0300,2025-11-24 17:03:00.078 +0300,NETWORK,3,2.00,20.000000,PENDING,true,true,false,3,173,5,176,,
36,2025-11-24 17:03:00.079 +0300,2025-11-24 17:03:00.079 +0300,NETWORK,4,2.00,20.000000,PENDING,true,true,false,4,173,5,177,,
37,2025-11-24 17:03:00.080 +0300,2025-11-24 17:03:00.080 +0300,NETWORK,5,2.00,20.000000,PENDING,true,true,false,5,173,5,178,,
38,2025-11-24 17:03:00.080 +0300,2025-11-24 17:03:00.080 +0300,NETWORK,6,2.00,20.000000,PENDING,true,true,false,6,173,5,179,,
39,2025-11-24 17:03:00.081 +0300,2025-11-24 17:03:00.081 +0300,NETWORK,7,2.00,20.000000,PENDING,true,true,false,7,173,5,180,,
40,2025-11-24 17:03:00.085 +0300,2025-11-24 17:03:00.085 +0300,LEGENDS_POOL,,,50.000000,PENDING,false,true,false,,173,5,,,
43,2025-11-24 17:04:00.022 +0300,2025-11-24 17:04:00.022 +0300,NETWORK,3,2.00,20.000000,PENDING,true,true,false,3,183,6,186,,
48,2025-11-24 17:04:00.077 +0300,2025-11-24 17:04:00.077 +0300,LEGENDS_POOL,,,50.000000,PENDING,false,true,false,,183,6,,,
49,2025-11-24 17:06:00.014 +0300,2025-11-24 17:06:00.014 +0300,NETWORK,1,10.00,100.000000,PENDING,true,true,false,1,81,7,82,,
51,2025-11-24 17:06:00.017 +0300,2025-11-24 17:06:00.017 +0300,NETWORK,3,2.00,20.000000,PENDING,true,true,false,3,81,7,84,,
52,2025-11-24 17:06:00.018 +0300,2025-11-24 17:06:00.018 +0300,NETWORK,4,2.00,20.000000,PENDING,true,true,false,4,81,7,85,,
55,2025-11-24 17:06:00.021 +0300,2025-11-24 17:06:00.021 +0300,NETWORK,7,2.00,20.000000,PENDING,true,true,false,7,81,7,88,,
56,2025-11-24 17:06:00.025 +0300,2025-11-24 17:06:00.025 +0300,LEGENDS_POOL,,,50.000000,PENDING,false,true,false,,81,7,,,
57,2025-11-24 17:11:00.016 +0300,2025-11-24 17:11:00.016 +0300,NETWORK,1,10.00,100.000000,PENDING,true,true,false,1,250,8,251,,
58,2025-11-24 17:11:00.018 +0300,2025-11-24 17:11:00.018 +0300,NETWORK,2,5.00,50.000000,PENDING,true,true,false,2,250,8,252,,
59,2025-11-24 17:11:00.019 +0300,2025-11-24 17:11:00.019 +0300,NETWORK,3,2.00,20.000000,PENDING,true,true,false,3,250,8,253,,
60,2025-11-24 17:11:00.020 +0300,2025-11-24 17:11:00.020 +0300,NETWORK,4,2.00,20.000000,PENDING,true,true,false,4,250,8,254,,
62,2025-11-24 17:11:00.022 +0300,2025-11-24 17:11:00.022 +0300,NETWORK,6,2.00,20.000000,PENDING,true,true,false,6,250,8,24,,
63,2025-11-24 17:11:00.023 +0300,2025-11-24 17:11:00.023 +0300,NETWORK,7,2.00,20.000000,PENDING,true,true,false,7,250,8,34,,
64,2025-11-24 17:11:00.026 +0300,2025-11-24 17:11:00.026 +0300,LEGENDS_POOL,,,50.000000,PENDING,false,true,false,,250,8,,,
65,2025-11-24 17:19:00.012 +0300,2025-11-24 17:19:00.012 +0300,NETWORK,1,10.00,25.000000,PENDING,true,true,false,1,396,9,264,,
66,2025-11-24 17:19:00.013 +0300,2025-11-24 17:19:00.013 +0300,NETWORK,2,5.00,12.500000,PENDING,true,true,false,2,396,9,93,,
67,2025-11-24 17:19:00.074 +0300,2025-11-24 17:19:00.074 +0300,NETWORK,3,2.00,5.000000,PENDING,true,true,false,3,396,9,40,,
9,2025-11-24 16:36:00.029 +0300,2025-11-24 16:36:00.029 +0300,NETWORK,1,10.00,100.000000,WITHDRAWN,true,true,false,1,11,2,10,,
50,2025-11-24 17:06:00.016 +0300,2025-11-24 17:06:00.016 +0300,NETWORK,2,5.00,50.000000,WITHDRAWN,true,true,false,2,81,7,83,,
41,2025-11-24 17:04:00.019 +0300,2025-11-24 17:04:00.019 +0300,NETWORK,1,10.00,100.000000,WITHDRAWN,true,true,false,1,183,6,184,,
42,2025-11-24 17:04:00.021 +0300,2025-11-24 17:04:00.021 +0300,NETWORK,2,5.00,50.000000,WITHDRAWN,true,true,false,2,183,6,185,,
10,2025-11-24 16:36:00.031 +0300,2025-11-24 16:36:00.031 +0300,NETWORK,2,5.00,50.000000,WITHDRAWN,true,true,false,2,11,2,8,,
11,2025-11-24 16:36:00.032 +0300,2025-11-24 16:36:00.032 +0300,NETWORK,3,2.00,20.000000,WITHDRAWN,true,true,false,3,11,2,6,,
54,2025-11-24 17:06:00.020 +0300,2025-11-24 17:06:00.020 +0300,NETWORK,6,2.00,20.000000,WITHDRAWN,true,true,false,6,81,7,87,,
53,2025-11-24 17:06:00.019 +0300,2025-11-24 17:06:00.019 +0300,NETWORK,5,2.00,20.000000,WITHDRAWN,true,true,false,5,81,7,86,,
44,2025-11-24 17:04:00.023 +0300,2025-11-24 17:04:00.023 +0300,NETWORK,4,2.00,20.000000,WITHDRAWN,true,true,false,4,183,6,187,,
29,2025-11-24 16:59:00.023 +0300,2025-11-24 16:59:00.023 +0300,NETWORK,5,2.00,20.000000,WITHDRAWN,true,true,false,5,27,4,32,,
20,2025-11-24 16:57:00.085 +0300,2025-11-24 16:57:00.085 +0300,NETWORK,4,2.00,5.000000,WITHDRAWN,true,true,false,4,28,3,32,,
46,2025-11-24 17:04:00.025 +0300,2025-11-24 17:04:00.026 +0300,NETWORK,6,2.00,20.000000,WITHDRAWN,true,true,false,6,183,6,29,,
17,2025-11-24 16:57:00.081 +0300,2025-11-24 16:57:00.081 +0300,NETWORK,1,10.00,25.000000,WITHDRAWN,true,true,false,1,28,3,29,,
26,2025-11-24 16:59:00.019 +0300,2025-11-24 16:59:00.019 +0300,NETWORK,2,5.00,50.000000,WITHDRAWN,true,true,false,2,27,4,29,,
45,2025-11-24 17:04:00.024 +0300,2025-11-24 17:04:00.024 +0300,NETWORK,5,2.00,20.000000,WITHDRAWN,true,true,false,5,183,6,188,,
25,2025-11-24 16:59:00.018 +0300,2025-11-24 16:59:00.018 +0300,NETWORK,1,10.00,100.000000,WITHDRAWN,true,true,false,1,27,4,28,,
61,2025-11-24 17:11:00.021 +0300,2025-11-24 17:11:00.021 +0300,NETWORK,5,2.00,20.000000,WITHDRAWN,true,true,false,5,250,8,23,,
68,2025-11-24 17:19:00.076 +0300,2025-11-24 17:19:00.076 +0300,NETWORK,4,2.00,5.000000,PENDING,true,true,false,4,396,9,41,,
69,2025-11-24 17:19:00.077 +0300,2025-11-24 17:19:00.077 +0300,NETWORK,5,2.00,5.000000,PENDING,true,true,false,5,396,9,42,,
70,2025-11-24 17:19:00.078 +0300,2025-11-24 17:19:00.078 +0300,NETWORK,6,2.00,5.000000,PENDING,true,true,false,6,396,9,44,,
